Date,Stock Name,Trend,Tweet
2021-11-15,PG,1,25
2021-11-15,META,1,25
2021-11-15,AMZN,1,25
2021-11-15,GOOG,0,25
2021-11-15,AMD,0,25
2021-11-15,AAPL,0,25
2021-11-15,NFLX,0,25
2021-11-15,TSM,0,25
2021-11-15,KO,1,25
2021-11-15,F,1,25
2021-11-15,COST,1,25
2021-11-15,DIS,0,25
2021-11-15,VZ,0,25
2021-11-15,CRM,0,25
2021-11-15,INTC,0,25
2021-11-15,BA,1,25
2021-11-15,BX,0,25
2021-11-15,NOC,0,25
2021-11-15,PYPL,1,25
2021-11-15,ENPH,0,25
2021-11-15,NIO,0,25
2021-11-15,ZS,0,25
2021-11-15,XPEV,0,25
2021-11-16,TSLA,1,74
2021-11-16,MSFT,1,74
2021-11-16,PG,0,74
2021-11-16,META,0,74
2021-11-16,AMZN,1,74
2021-11-16,GOOG,0,74
2021-11-16,AMD,1,74
2021-11-16,AAPL,1,74
2021-11-16,NFLX,1,74
2021-11-16,TSM,1,74
2021-11-16,KO,0,74
2021-11-16,F,0,74
2021-11-16,COST,1,74
2021-11-16,DIS,0,74
2021-11-16,VZ,0,74
2021-11-16,CRM,1,74
2021-11-16,INTC,1,74
2021-11-16,BA,0,74
2021-11-16,BX,1,74
2021-11-16,NOC,0,74
2021-11-16,PYPL,1,74
2021-11-16,ENPH,1,74
2021-11-16,NIO,0,74
2021-11-16,ZS,1,74
2021-11-16,XPEV,1,74
2021-11-17,TSLA,1,23
2021-11-17,MSFT,1,23
2021-11-17,PG,1,23
2021-11-17,META,0,23
2021-11-17,AMZN,0,23
2021-11-17,GOOG,0,23
2021-11-17,AMD,0,23
2021-11-17,AAPL,1,23
2021-11-17,NFLX,1,23
2021-11-17,TSM,1,23
2021-11-17,KO,0,23
2021-11-17,F,1,23
2021-11-17,COST,0,23
2021-11-17,DIS,0,23
2021-11-17,VZ,0,23
2021-11-17,CRM,1,23
2021-11-17,INTC,0,23
2021-11-17,BA,0,23
2021-11-17,BX,1,23
2021-11-17,NOC,0,23
2021-11-17,PYPL,0,23
2021-11-17,ENPH,1,23
2021-11-17,NIO,0,23
2021-11-17,ZS,1,23
2021-11-17,XPEV,0,23
2021-11-18,TSLA,0,64
2021-11-18,MSFT,1,64
2021-11-18,PG,1,64
2021-11-18,META,0,64
2021-11-18,AMZN,1,64
2021-11-18,GOOG,1,64
2021-11-18,AMD,0,64
2021-11-18,AAPL,1,64
2021-11-18,NFLX,0,64
2021-11-18,TSM,1,64
2021-11-18,KO,0,64
2021-11-18,F,0,64
2021-11-18,COST,1,64
2021-11-18,DIS,0,64
2021-11-18,VZ,0,64
2021-11-18,CRM,0,64
2021-11-18,INTC,0,64
2021-11-18,BA,0,64
2021-11-18,BX,1,64
2021-11-18,NOC,0,64
2021-11-18,PYPL,0,64
2021-11-18,ENPH,0,64
2021-11-18,NIO,0,64
2021-11-18,ZS,1,64
2021-11-18,XPEV,0,64
2021-11-19,TSLA,1,48
2021-11-19,MSFT,1,48
2021-11-19,PG,0,48
2021-11-19,META,1,48
2021-11-19,AMZN,0,48
2021-11-19,GOOG,0,48
2021-11-19,AMD,0,48
2021-11-19,AAPL,1,48
2021-11-19,NFLX,0,48
2021-11-19,TSM,1,48
2021-11-19,KO,0,48
2021-11-19,F,0,48
2021-11-19,COST,0,48
2021-11-19,DIS,0,48
2021-11-19,VZ,0,48
2021-11-19,CRM,0,48
2021-11-19,INTC,0,48
2021-11-19,BA,0,48
2021-11-19,BX,0,48
2021-11-19,NOC,1,48
2021-11-19,PYPL,0,48
2021-11-19,ENPH,1,48
2021-11-19,NIO,1,48
2021-11-19,ZS,0,48
2021-11-19,XPEV,0,48
2021-11-22,TSLA,0,20
2021-11-22,MSFT,0,20
